-0.00324283 0.0143257 -0.00618876 0.999873 
7.04811 4.27296 5.25098 0 0
7.07868 4.26745 4.97234 0 0
7.14423 4.27401 5.02746 0 0
7.18206 4.29929 5.82051 0 0
7.21012 4.27945 5.04082 0 0
7.24333 4.28242 5.05445 0 0
7.27559 4.28062 4.90107 0 0
7.34266 4.28709 4.94225 0 0
7.41002 4.2932 4.96951 0 0
7.54411 4.29883 4.80134 0 0
7.57833 4.30292 4.85673 0 0
7.74649 4.31281 4.7718 0 0
7.84585 4.31869 4.71529 0 0
7.91107 4.323 4.68689 0 0
7.94441 4.33038 4.85363 0 0
8.00761 4.33369 4.78349 0 0
8.06876 4.33396 4.602 0 0
8.09957 4.33755 4.62957 0 0
8.16023 4.34442 4.67078 0 0
8.18983 4.34649 4.64267 0 0
8.27781 4.35564 4.65578 0 0
8.36398 4.36456 4.65498 0 0
8.39372 4.37358 4.86349 0 0
8.53307 4.38208 4.62555 0 0
8.58889 4.38754 4.59718 0 0
8.62102 4.40989 5.26498 0 0
8.65241 4.42912 5.82143 0 0
8.84481 4.44854 5.6525 0 0
8.86687 4.42822 4.81714 0 0
8.89985 4.45785 5.72154 0 0
8.94911 4.44252 4.92765 0 0
9.29819 4.51554 5.68951 0 0
9.37326 4.516 5.28505 0 0
9.45001 4.52581 5.21463 0 0
9.50244 4.53864 5.39502 0 0
9.62901 4.55126 5.19884 0 0
6.24205 4.26067 5.8972 0 0
6.3651 4.26641 5.75696 0 0
6.39604 4.26928 5.77061 0 0
6.60925 4.27618 5.42081 0 0
6.64029 4.27972 5.46231 0 0
6.76183 4.28083 5.16898 0 0
6.79325 4.28525 5.2383 0 0
6.82329 4.28291 5.07102 0 0
6.8861 4.28946 5.12615 0 0
6.91788 4.29355 5.18156 0 0
6.94911 4.29446 5.12561 0 0
6.98042 4.29497 5.05575 0 0
7.1095 4.30614 5.09641 0 0
7.14092 4.30305 4.90128 0 0
7.30645 4.3163 4.91378 0 0
7.34035 4.32093 4.98308 0 0
7.3737 4.32277 4.95496 0 0
7.40708 4.32421 4.91292 0 0
7.43982 4.32245 4.75953 0 0
7.60855 4.33319 4.68851 0 0
7.74335 4.34309 4.68737 0 0
8.12749 4.37274 4.62838 0 0
8.30664 4.4005 5.00256 0 0
8.39223 4.40843 4.97394 0 0
8.41865 4.40259 4.66748 0 0
8.50281 4.41008 4.61101 0 0
8.55885 4.41635 4.61048 0 0
8.58778 4.42397 4.7633 0 0
8.61885 4.44163 5.26408 0 0
8.78162 4.44615 4.69179 0 0
8.83644 4.45305 4.67732 0 0
8.86397 4.45754 4.70488 0 0
8.89291 4.46886 4.96904 0 0
8.91965 4.4706 4.89917 0 0
8.97351 4.47696 4.85686 0 0
9.1348 4.50575 5.03611 0 0
9.16197 4.51338 5.16109 0 0
9.31958 4.5421 5.3125 0 0
9.3452 4.54488 5.27047 0 0
9.37067 4.54726 5.21452 0 0
9.39724 4.55479 5.3395 0 0
