0.001742 0.00114586 0.00212108 0.999996 
7.27436 2.73774 3.78475 0 0
7.31082 2.73981 3.75702 0 0
7.347 2.74213 3.78499 0 0
7.38328 2.74442 3.74334 0 0
7.4191 2.74697 3.74346 0 0
7.45437 2.74976 3.78535 0 0
7.48918 2.7526 3.78546 0 0
7.5233 2.75561 3.78558 0 0
7.55676 2.75879 3.79961 0 0
7.58968 2.76212 3.81364 0 0
7.62228 2.76555 3.79982 0 0
7.65448 2.76914 3.79992 0 0
7.71746 2.77703 3.95329 0 0
7.74878 2.78099 3.96732 0 0
7.77987 2.78502 3.98134 0 0
7.81076 2.78913 3.99536 0 0
7.84136 2.79332 4.03723 0 0
7.87184 2.79752 4.06518 0 0
7.90222 2.80168 4.0792 0 0
7.96259 2.80995 4.12116 0 0
7.99264 2.814 4.1491 0 0
8.0227 2.81791 4.1492 0 0
8.05271 2.82173 4.14929 0 0
8.11241 2.82921 4.16341 0 0
8.14212 2.83284 4.1635 0 0
8.17183 2.83634 4.12183 0 0
8.20117 2.83996 4.14977 0 0
8.23046 2.8435 4.14986 0 0
8.25955 2.84704 4.16388 0 0
8.28868 2.85044 4.1222 0 0
8.31726 2.8541 4.19191 0 0
8.34602 2.85752 4.16416 0 0
8.37451 2.861 4.16425 0 0
8.43089 2.86803 4.19228 0 0
8.45878 2.87155 4.20629 0 0
8.51416 2.87854 4.20646 0 0
8.5688 2.88562 4.20664 0 0
8.59597 2.88913 4.17888 0 0
8.6228 2.89282 4.20681 0 0
8.64995 2.89628 4.10943 0 0
8.703 2.90391 4.16529 0 0
8.72936 2.90784 4.19322 0 0
8.756 2.91157 4.10976 0 0
6.21892 2.71081 4.35203 0 0
6.2797 2.71418 4.29654 0 0
6.30987 2.71595 4.29664 0 0
6.40009 2.72127 4.2134 0 0
6.4297 2.72318 4.24134 0 0
6.45951 2.72483 4.1579 0 0
6.48887 2.72653 4.13015 0 0
6.51798 2.72809 4.08847 0 0
6.5469 2.72955 4.03287 0 0
6.60451 2.73236 3.89383 0 0
6.63301 2.73395 3.89392 0 0
6.6614 2.73566 3.93579 0 0
6.69024 2.73714 3.86626 0 0
6.71886 2.73888 3.89421 0 0
6.77697 2.74225 3.85263 0 0
6.80649 2.74389 3.79703 0 0
6.83602 2.74576 3.82498 0 0
6.86603 2.74757 3.82508 0 0
6.89653 2.74935 3.81126 0 0
6.92751 2.75116 3.81136 0 0
6.95922 2.75292 3.79754 0 0
6.99172 2.75465 3.79765 0 0
7.02509 2.75634 3.79776 0 0
7.05934 2.75797 3.78396 0 0
7.0941 2.75965 3.798 0 0
7.12949 2.76126 3.77027 0 0
7.16512 2.76302 3.78431 0 0
7.20115 2.76476 3.75658 0 0
7.23721 2.76668 3.77063 0 0
7.27346 2.76864 3.75683 0 0
7.30953 2.77085 3.79872 0 0
7.34577 2.77304 3.77099 0 0
7.45266 2.78069 3.78527 0 0
7.48742 2.78354 3.78539 0 0
7.52158 2.78658 3.79942 0 0
7.55527 2.7897 3.78561 0 0
7.58847 2.793 3.77179 0 0
7.62107 2.79655 3.81367 0 0
7.74824 2.81205 3.98117 0 0
7.77955 2.81606 3.98127 0 0
7.8105 2.82024 4.02314 0 0
7.84153 2.82427 3.98146 0 0
7.87197 2.8286 4.0651 0 0
7.90248 2.83276 4.07912 0 0
7.9328 2.83694 4.10707 0 0
7.96305 2.84104 4.12109 0 0
7.99325 2.84504 4.12118 0 0
8.02325 2.84904 4.14913 0 0
8.05318 2.85293 4.16315 0 0
8.08306 2.85673 4.16324 0 0
8.11282 2.86045 4.16334 0 0
8.14249 2.86409 4.14951 0 0
8.17202 2.86767 4.13568 0 0
8.20146 2.8712 4.10792 0 0
8.23041 2.87489 4.17764 0 0
8.25953 2.87836 4.14988 0 0
8.28842 2.88185 4.14998 0 0
8.34549 2.88895 4.20585 0 0
8.37398 2.89235 4.1781 0 0
8.40211 2.89588 4.20604 0 0
8.43022 2.89929 4.1922 0 0
8.48588 2.90616 4.17845 0 0
8.5134 2.90966 4.19247 0 0
8.54074 2.91315 4.20648 0 0
8.56799 2.91664 4.20656 0 0
8.59514 2.92012 4.19273 0 0
8.64889 2.9273 4.20682 0 0
8.67571 2.93089 4.17906 0 0
8.70222 2.93467 4.20699 0 0
8.72888 2.93834 4.1653 0 0
8.75522 2.94224 4.19323 0 0
8.7816 2.94612 4.17939 0 0
8.83398 2.95427 4.2074 0 0
5.90657 2.72594 5.24206 0 0
5.96896 2.72923 5.10302 0 0
6.21661 2.74132 4.35195 0 0
6.30779 2.74659 4.28264 0 0
6.33806 2.74834 4.24097 0 0
6.36787 2.75037 4.31069 0 0
6.39836 2.75187 4.1437 0 0
6.42821 2.75368 4.11595 0 0
6.45784 2.7555 4.10212 0 0
6.54553 2.76036 3.99102 0 0
6.57445 2.76184 3.93543 0 0
6.63177 2.76507 3.93562 0 0
6.66044 2.7667 3.93571 0 0
6.68942 2.76819 3.86619 0 0
6.71817 2.76995 3.89413 0 0
6.77656 2.7733 3.85256 0 0
6.80616 2.77496 3.81088 0 0
6.83594 2.77674 3.81098 0 0
6.86614 2.7785 3.79716 0 0
6.8967 2.78032 3.81119 0 0
6.92787 2.78206 3.79737 0 0
6.95972 2.7838 3.78355 0 0
6.99223 2.78552 3.78366 0 0
7.02549 2.78723 3.79769 0 0
7.05953 2.78887 3.78389 0 0
7.09423 2.79046 3.75615 0 0
7.12922 2.79221 3.78412 0 0
7.16468 2.79394 3.78424 0 0
7.20047 2.79572 3.77044 0 0
7.23635 2.79764 3.78448 0 0
7.27225 2.7997 3.81245 0 0
7.30837 2.80174 3.78472 0 0
7.34427 2.80402 3.79876 0 0
7.38006 2.80641 3.79888 0 0
7.41569 2.80887 3.77115 0 0
7.45074 2.81163 3.79912 0 0
7.48548 2.81447 3.79923 0 0
7.51977 2.81744 3.78542 0 0
7.55354 2.82062 3.78553 0 0
7.58686 2.82395 3.78564 0 0
7.61962 2.82752 3.82752 0 0
7.65233 2.83103 3.78585 0 0
7.68402 2.83516 3.95304 0 0
7.71598 2.83901 3.95314 0 0
7.74761 2.84304 3.98109 0 0
7.77914 2.84704 3.96727 0 0
7.81017 2.85131 4.03699 0 0
7.84113 2.8555 4.06493 0 0
7.87191 2.85971 4.09288 0 0
7.90271 2.8638 4.06513 0 0
7.93301 2.86809 4.13485 0 0
7.96336 2.87219 4.14887 0 0
7.9936 2.87622 4.14896 0 0
8.02362 2.88025 4.17691 0 0
8.05366 2.8841 4.16308 0 0
8.08344 2.88796 4.1771 0 0
8.11325 2.89165 4.14934 0 0
8.1427 2.89541 4.17729 0 0
8.1721 2.89905 4.17738 0 0
8.20139 2.90263 4.16355 0 0
8.25935 2.90974 4.17766 0 0
8.28812 2.91326 4.17775 0 0
8.31663 2.91678 4.20569 0 0
