-0.000470787 0.00031065 0.000786763 1.0 
5.70059 5.10033 6.78199 0 0
5.76459 5.10694 6.768 0 0
5.79653 5.11028 6.7262 0 0
5.9882 5.12954 6.01588 0 0
6.02098 5.13267 6.69813 0 0
6.05336 5.13525 6.94873 0 0
6.18283 5.14408 7.65873 0 0
6.21409 5.1455 6.62832 0 0
6.31074 5.15195 6.65607 0 0
6.3428 5.15416 6.58642 0 0
6.40687 5.15882 6.64205 0 0
6.47042 5.1634 6.58629 0 0
6.53334 5.16746 6.54446 0 0
6.56456 5.16925 6.5305 0 0
6.59563 5.17098 6.47478 0 0
6.68871 5.17661 6.72532 0 0
6.7194 5.17847 6.54428 0 0
6.75024 5.1805 6.53032 0 0
6.812 5.18489 6.51634 0 0
6.84289 5.18716 6.43276 0 0
6.90522 5.19207 6.51624 0 0
6.93658 5.19457 6.55798 0 0
6.96797 5.19696 6.43264 0 0
6.99984 5.19938 6.55792 0 0
7.09663 5.20521 6.44643 0 0
7.12954 5.20728 6.65526 0 0
7.2618 5.21563 6.52982 0 0
7.32856 5.22022 6.32089 0 0
7.36241 5.22284 6.57149 0 0
7.39604 5.22532 6.48791 0 0
7.42985 5.22788 6.52965 0 0
7.49743 5.23274 6.39034 0 0
7.53134 5.23499 6.37639 0 0
7.56659 5.23802 7.76876 0 0
7.63335 5.24157 6.64084 0 0
7.73424 5.24802 6.44581 0 0
7.76767 5.25031 6.44577 0 0
7.89933 5.25957 6.40387 0 0
7.93161 5.26184 6.37599 0 0
8.05766 5.26962 6.50119 0 0
8.11876 5.27286 6.61252 0 0
8.14878 5.27439 6.57072 0 0
8.17868 5.27607 6.66816 0 0
8.23745 5.27941 6.52886 0 0
8.29559 5.28324 6.61235 0 0
8.43809 5.29453 6.62613 0 0
8.52263 5.30234 6.73744 0 0
8.57877 5.30783 6.807 0 0
8.99229 5.35719 7.53063 0 0
9.01858 5.35961 6.87617 0 0
9.31043 5.38515 7.86449 0 0
9.38785 5.39115 7.36315 0 0
9.46582 5.39752 7.93396 0 0
9.54276 5.40303 7.79464 0 0
4.63176 5.04548 8.13367 0 0
4.75616 5.05551 7.59051 0 0
5.21126 5.09177 7.38119 0 0
5.34235 5.1021 6.89372 0 0
5.44039 5.11039 6.83793 0 0
5.56982 5.12206 6.64286 0 0
5.63426 5.12837 6.78204 0 0
5.66623 5.1315 6.68454 0 0
5.69826 5.13478 6.69843 0 0
5.73023 5.13809 6.68447 0 0
5.76223 5.14148 6.71229 0 0
5.95432 5.16195 6.69817 0 0
6.0185 5.1677 6.64241 0 0
6.14715 5.17617 6.61444 0 0
6.30844 5.1866 6.72567 0 0
6.34059 5.18883 6.72564 0 0
6.40558 5.19402 7.65849 0 0
6.43655 5.19575 6.66985 0 0
6.46971 5.19898 8.14576 0 0
6.49986 5.20018 6.57232 0 0
6.5313 5.20207 6.60013 0 0
6.59354 5.20544 6.44691 0 0
6.62475 5.20731 6.64181 0 0
6.65539 5.20889 6.29368 0 0
6.71734 5.21282 6.50248 0 0
6.74806 5.21477 6.36321 0 0
6.84084 5.22144 6.40489 0 0
6.90314 5.22627 6.47445 0 0
6.93449 5.22874 6.50227 0 0
6.96598 5.23114 6.48831 0 0
