4.65031e-05 0.00136895 -0.0148064 0.999889 
6.82422 2.38182 4.04791 0 0
6.85289 2.38475 4.08968 0 0
6.88179 2.38736 4.00613 0 0
4.18855 2.281 4.67442 0 0
4.3183 2.28551 4.59088 0 0
4.5918 2.29338 4.34026 0 0
4.67818 2.29599 4.32634 0 0
4.70738 2.29678 4.28457 0 0
4.73674 2.29764 4.25673 0 0
4.76622 2.29858 4.25673 0 0
4.79584 2.29961 4.28458 0 0
4.88529 2.30235 4.20104 0 0
4.94535 2.30418 4.1175 0 0
4.97547 2.30537 4.15927 0 0
5.00567 2.3064 4.14535 0 0
5.03595 2.30742 4.1175 0 0
5.06628 2.3086 4.14535 0 0
5.09664 2.30973 4.14535 0 0
5.12706 2.31073 4.08965 0 0
5.15754 2.3119 4.08965 0 0
5.18805 2.31311 4.08966 0 0
5.21858 2.3144 4.1175 0 0
5.24915 2.31551 4.06181 0 0
5.27973 2.3168 4.06181 0 0
5.31034 2.31811 4.06181 0 0
5.34094 2.31947 4.06181 0 0
5.37152 2.32083 4.04789 0 0
5.40209 2.32227 4.04789 0 0
5.43265 2.3237 4.03396 0 0
5.46317 2.32519 4.02004 0 0
5.4936 2.32675 4.02004 0 0
5.52399 2.32841 4.03396 0 0
5.55427 2.32993 3.99219 0 0
5.61457 2.33341 4.00611 0 0
5.64457 2.33519 4.00611 0 0
5.67451 2.33695 3.97826 0 0
5.70436 2.33884 3.97826 0 0
5.73415 2.34081 3.97826 0 0
5.76393 2.34285 3.99218 0 0
5.79367 2.34498 4.0061 0 0
5.8234 2.3471 4.0061 0 0
5.85312 2.34931 4.02002 0 0
5.88284 2.35138 3.97825 0 0
5.91256 2.3535 3.9504 0 0
5.94229 2.35565 3.93647 0 0
5.97205 2.35781 3.93647 0 0
6.00182 2.35992 3.93647 0 0
6.03162 2.36191 3.90862 0 0
6.06144 2.36386 3.8947 0 0
6.0913 2.36573 3.89469 0 0
6.12117 2.36754 3.89469 0 0
6.15105 2.36934 3.93646 0 0
6.18097 2.37079 3.88077 0 0
6.21087 2.37246 3.92254 0 0
6.24076 2.37381 3.88077 0 0
6.27062 2.37536 3.92254 0 0
6.30043 2.37693 3.97824 0 0
6.33021 2.37824 3.95039 0 0
6.35992 2.37964 3.95039 0 0
6.38955 2.38106 3.95039 0 0
6.4191 2.38248 3.93646 0 0
6.44854 2.38388 3.89469 0 0
6.47786 2.38561 3.95039 0 0
6.50705 2.38715 3.90862 0 0
6.53612 2.38891 3.90861 0 0
6.56503 2.39074 3.89469 0 0
6.59379 2.39277 3.90861 0 0
6.62243 2.3949 3.90861 0 0
6.65095 2.39703 3.86684 0 0
6.67935 2.39962 3.95038 0 0
6.70771 2.40209 3.95037 0 0
6.76435 2.40742 4.00606 0 0
6.8499 2.41559 3.9782 0 0
6.90787 2.42135 4.00604 0 0
6.93727 2.42465 4.1592 0 0
6.96708 2.42743 4.11743 0 0
6.99729 2.43029 4.1035 0 0
7.05912 2.43618 4.14526 0 0
3.75963 2.2953 4.04774 0 0
4.20912 2.31079 4.67434 0 0
4.36676 2.31618 4.57688 0 0
4.5313 2.32098 4.4655 0 0
4.58784 2.32243 4.36803 0 0
4.70336 2.32582 4.31234 0 0
4.73268 2.32664 4.27057 0 0
4.7621 2.32768 4.31234 0 0
4.79164 2.32848 4.25665 0 0
4.82128 2.32945 4.25665 0 0
4.91078 2.33231 4.21488 0 0
4.94077 2.33339 4.22881 0 0
4.97086 2.33425 4.17311 0 0
5.00099 2.33514 4.11742 0 0
5.03119 2.33632 4.15919 0 0
5.06146 2.33737 4.14527 0 0
5.09179 2.33835 4.1035 0 0
5.12215 2.33942 4.08957 0 0
5.15258 2.34055 4.08958 0 0
5.18304 2.34171 4.08958 0 0
5.21353 2.34287 4.08958 0 0
5.24405 2.344 4.06173 0 0
5.27461 2.34519 4.04781 0 0
5.30516 2.34652 4.07566 0 0
5.33572 2.34769 4.03388 0 0
5.36626 2.34913 4.07566 0 0
5.39681 2.35048 4.06173 0 0
5.42733 2.35173 4.00604 0 0
5.45781 2.35329 4.04781 0 0
5.48822 2.35479 4.04781 0 0
5.5186 2.35628 4.01996 0 0
5.54889 2.35792 4.03388 0 0
5.57912 2.35943 3.97819 0 0
5.60926 2.36128 4.01996 0 0
5.63933 2.36302 4.00603 0 0
5.66934 2.36483 3.99211 0 0
5.6993 2.36685 4.01996 0 0
5.72922 2.36875 3.97818 0 0
5.75911 2.37083 3.97818 0 0
5.78896 2.37295 3.97818 0 0
5.8188 2.37522 4.00602 0 0
5.84867 2.37742 3.9921 0 0
5.8785 2.37963 3.97817 0 0
5.90836 2.38187 3.96425 0 0
5.93822 2.38413 3.96424 0 0
5.96809 2.38633 3.95032 0 0
5.998 2.38853 3.95032 0 0
6.0279 2.39064 3.93639 0 0
6.05782 2.39272 3.93639 0 0
6.08777 2.3947 3.93639 0 0
6.11774 2.39666 3.95031 0 0
6.14771 2.39834 3.89461 0 0
6.17769 2.40008 3.89461 0 0
6.20764 2.40173 3.88069 0 0
6.23757 2.40354 3.95031 0 0
6.26749 2.40506 3.92246 0 0
6.29735 2.40654 3.89461 0 0
6.32718 2.40798 3.85284 0 0
6.3569 2.40985 3.96423 0 0
6.38656 2.41135 3.93638 0 0
6.41614 2.41292 3.92246 0 0
6.4456 2.4146 3.93638 0 0
6.47496 2.41633 3.93638 0 0
6.50417 2.41799 3.89461 0 0
6.53324 2.41996 3.92245 0 0
6.56219 2.42185 3.8946 0 0
6.59096 2.42392 3.8946 0 0
6.61961 2.4261 3.8946 0 0
6.64814 2.42835 3.88067 0 0
6.67655 2.43072 3.88067 0 0
6.70489 2.43334 3.93636 0 0
6.76151 2.43869 4.00598 0 0
6.78988 2.44108 3.89458 0 0
6.81833 2.44422 4.04774 0 0
6.90485 2.45272 4.07558 0 0
7.08768 2.47211 4.84137 0 0
7.32384 2.49279 4.89705 0 0
4.12751 2.33637 4.70211 0 0
4.17836 2.33862 4.67426 0 0
4.28222 2.34261 4.61857 0 0
4.38914 2.34602 4.54895 0 0
4.52726 2.34985 4.3958 0 0
4.55548 2.35066 4.38187 0 0
4.58391 2.35153 4.38188 0 0
4.61254 2.35217 4.29833 0 0
4.64132 2.35311 4.32618 0 0
4.72864 2.35564 4.25657 0 0
4.758 2.35657 4.25657 0 0
4.78745 2.35755 4.27049 0 0
4.81704 2.35843 4.24265 0 0
4.8467 2.35932 4.2148 0 0
4.87647 2.36027 4.20088 0 0
4.93623 2.36202 4.11734 0 0
4.96623 2.363 4.10341 0 0
4.9963 2.3641 4.13126 0 0
5.02645 2.36509 4.11734 0 0
5.05666 2.36614 4.11734 0 0
5.08692 2.36717 4.10342 0 0
5.11724 2.36828 4.11734 0 0
5.14761 2.36931 4.10342 0 0
5.17801 2.37035 4.07557 0 0
5.20847 2.37142 4.06165 0 0
5.23893 2.37263 4.0895 0 0
5.26943 2.37376 4.07558 0 0
5.29995 2.37492 4.06165 0 0
5.33047 2.37614 4.06165 0 0
5.36098 2.37737 4.04773 0 0
5.39149 2.37866 4.04773 0 0
5.42197 2.37997 4.03381 0 0
5.45241 2.38134 4.03381 0 0
5.48281 2.38274 4.01988 0 0
5.51318 2.38428 4.03381 0 0
5.54347 2.38583 4.03381 0 0
5.57372 2.38743 4.01988 0 0
5.60391 2.38913 4.01988 0 0
5.63405 2.39089 4.00596 0 0
5.66414 2.39276 4.00596 0 0
5.69421 2.39472 4.00595 0 0
5.72422 2.39673 3.99203 0 0
5.75422 2.39887 3.99203 0 0
5.78422 2.40111 4.00595 0 0
5.81421 2.40295 3.85278 0 0
5.84418 2.40551 3.95025 0 0
5.87415 2.40793 3.97809 0 0
5.90414 2.4102 3.95024 0 0
5.93413 2.41259 3.96417 0 0
5.96414 2.41476 3.90847 0 0
5.99414 2.41724 3.97809 0 0
6.02417 2.41936 3.93631 0 0
6.0542 2.42143 3.89454 0 0
6.08424 2.42357 3.90846 0 0
6.11431 2.42559 3.90846 0 0
6.14433 2.42756 3.90846 0 0
6.17438 2.4294 3.89453 0 0
6.20441 2.43123 3.89453 0 0
6.2344 2.43297 3.88061 0 0
6.26435 2.43473 3.89453 0 0
6.29426 2.43653 3.92238 0 0
6.32412 2.43827 3.9363 0 0
6.35391 2.43995 3.92237 0 0
6.38361 2.4417 3.9363 0 0
6.41323 2.44345 3.9363 0 0
6.44272 2.44519 3.90845 0 0
6.47211 2.44701 3.89452 0 0
6.50135 2.44896 3.90845 0 0
6.53047 2.45096 3.90844 0 0
6.55942 2.45303 3.90844 0 0
6.58823 2.45526 3.93629 0 0
6.61688 2.45743 3.90844 0 0
6.64542 2.45966 3.88059 0 0
6.67382 2.46233 3.97805 0 0
6.70216 2.46477 3.96413 0 0
6.73045 2.46746 4.01982 0 0
6.75875 2.46987 3.95019 0 0
6.78708 2.47264 3.99196 0 0
6.81551 2.47532 3.97804 0 0
6.84409 2.47807 3.97803 0 0
6.93126 2.48661 4.00587 0 0
3.72382 2.35556 5.24504 0 0
3.8498 2.35362 5.06405 0 0
4.12232 2.36534 4.70203 0 0
4.14768 2.36656 4.70203 0 0
4.19895 2.36874 4.66026 0 0
4.33051 2.37362 4.61849 0 0
4.35746 2.37435 4.5628 0 0
4.38457 2.37527 4.57672 0 0
4.4951 2.37821 4.40964 0 0
4.55148 2.37998 4.43749 0 0
4.6086 2.38154 4.3818 0 0
4.63741 2.3823 4.34003 0 0
4.66636 2.38311 4.31218 0 0
4.69542 2.38393 4.28433 0 0
4.72461 2.3848 4.27041 0 0
4.7539 2.38559 4.21472 0 0
4.78328 2.38667 4.27041 0 0
4.84238 2.38835 4.18687 0 0
4.87205 2.38904 4.08941 0 0
4.90181 2.39037 4.21472 0 0
4.96158 2.39226 4.18688 0 0
4.99159 2.39314 4.14511 0 0
5.02168 2.39411 4.13118 0 0
5.05181 2.39511 4.13118 0 0
5.08202 2.39611 4.11726 0 0
5.1123 2.39707 4.08942 0 0
5.1426 2.39814 4.10334 0 0
5.17295 2.39923 4.11727 0 0
5.20337 2.40022 4.08942 0 0
