0.00466313 0.00393825 0.00175825 0.99998 
6.0143 2.31006 4.56683 0 0
6.04318 2.31128 4.66457 0 0
6.07287 2.31173 4.67877 0 0
6.10334 2.31144 4.60943 0 0
6.1329 2.31185 4.63755 0 0
6.16257 2.31212 4.65175 0 0
6.2222 2.31224 4.63838 0 0
6.25223 2.31204 4.59688 0 0
6.28208 2.31196 4.56931 0 0
6.31174 2.31204 4.55566 0 0
6.3409 2.31252 4.58378 0 0
6.37178 2.31152 4.41697 0 0
6.40007 2.31272 4.5147 0 0
6.68836 2.32361 4.30843 0 0
6.74746 2.32589 4.12793 0 0
6.77617 2.32801 4.15603 0 0
6.83531 2.33153 4.11478 0 0
6.9902 2.33994 3.99083 0 0
7.15636 2.34821 3.92269 0 0
7.36315 2.3602 3.95237 0 0
7.85398 2.40731 3.53882 0 0
7.91482 2.41523 3.53932 0 0
4.33037 2.32504 5.85999 0 0
4.35782 2.32487 5.84632 0 0
4.38536 2.3248 5.84658 0 0
4.52893 2.32268 5.62513 0 0
4.58723 2.32257 5.62568 0 0
4.70895 2.31973 5.2787 0 0
4.7386 2.31997 5.30683 0 0
4.76922 2.31944 5.23749 0 0
4.83047 2.31866 5.12667 0 0
4.86159 2.31797 5.02949 0 0
4.89082 2.31894 5.14115 0 0
4.92206 2.3183 5.04397 0 0
4.95258 2.31831 5.03033 0 0
5.01351 2.31865 5.0309 0 0
5.04445 2.31853 4.98941 0 0
5.22992 2.31899 4.81011 0 0
5.26071 2.31932 4.79647 0 0
5.29136 2.31982 4.79675 0 0
5.3532 2.32037 4.7277 0 0
5.41464 2.32121 4.67256 0 0
5.44446 2.32233 4.72853 0 0
5.4757 2.32217 4.61742 0 0
5.50553 2.32314 4.64554 0 0
5.53563 2.32382 4.63189 0 0
5.56564 2.32453 4.61824 0 0
5.59571 2.32518 4.59066 0 0
5.62505 2.32644 4.6327 0 0
5.65501 2.32719 4.60513 0 0
5.68481 2.32813 4.59147 0 0
5.71473 2.329 4.56389 0 0
5.74412 2.33032 4.59201 0 0
5.77428 2.33102 4.53658 0 0
5.80367 2.3324 4.56469 0 0
5.83322 2.33362 4.57889 0 0
5.86366 2.33408 4.49561 0 0
5.89297 2.33546 4.53765 0 0
5.92181 2.33722 4.63538 0 0
5.95183 2.33791 4.60781 0 0
5.98215 2.33826 4.55239 0 0
6.01133 2.33949 4.62227 0 0
6.04197 2.33942 4.53901 0 0
